#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,1444.0,1903.7,160.7,255.5,289.4,534.9,733.8,2158.1,3829.4,3996.0,4149.2,4291.2,5209.9,24851.1,33097.3,30035.8,30000
read,1346.1,2097.8,160.7,257.7,291.9,520.5,664.0,930.9,2206.9,3965.9,4166.0,4328.2,5683.7,30714.2,38120.0,35031.2,35000
read,1214.3,1889.5,160.7,264.4,301.0,514.2,648.9,761.1,951.4,3881.0,4173.4,4363.2,5527.3,28050.4,35931.3,39965.8,40000
read,1105.7,1695.1,148.8,264.1,298.7,501.1,621.6,711.2,815.3,2460.4,4095.6,4313.1,5291.2,21273,33868.9,44966.4,45000
read,1027.2,1610.2,148.8,268.1,302.6,494.0,603.8,685.5,773.5,1008.7,3966.6,4259.6,5051.6,19697.4,35781.8,49734.4,50000
read,1239.5,2012.1,160.7,331.2,376.6,572.0,741.6,875.1,961.0,1098.6,4339.3,4899.4,7743.8,29242.7,38884.1,52883.4,55000
read,1333.4,1970.6,187.4,403.9,437.2,587.3,876.8,965.5,1022.5,2364.5,4553.7,5009.3,7738.5,27910.3,35997.9,51248.4,60000
read,1338.5,2044.1,173.5,392.1,426.0,595.8,859.7,960.8,1027.2,2292.2,4552.7,5013.8,7815.5,29693.7,38755.0,51433.0,65000
read,1333.9,2031.3,187.4,390.4,423.8,598.3,851.0,953.5,1019.5,2252.6,4545.6,5040.9,7764.7,29069.4,37613.2,51656.2,70000
read,1393.1,2135.0,187.4,417.4,450.0,607.9,907.4,1002.3,1073.6,3378.4,4594.5,5058.2,7882,30612,37620.1,49700.0,75000
read,1339.8,2097.0,173.5,382.9,416.4,614.1,837.0,940.6,1015.3,2107.6,4549.2,5036.7,7832.5,30190.9,37467.9,51665.9,80000
read,1367.2,2090.0,187.4,409.5,442.6,606.9,887.9,982.5,1049.1,2282.7,4581.5,5068.8,7880.4,30279.3,38444.9,50313.0,85000
read,1370.0,2067.2,187.4,404.1,438.2,618.2,883.5,985.4,1059.9,3496.2,4577.0,5022.0,7808.4,30257,37450.8,50219.4,90000
read,1378.4,2107.8,160.7,419.5,449.6,594.0,908.9,994.8,1060.1,3226.0,4590.8,5047.2,7842.7,30624.6,38620.0,50086.4,95000
read,1340.0,2044.7,187.4,393.3,429.3,594.1,857.4,959.4,1021.8,2253.0,4548.4,5039.7,7851.5,29685.8,36409.7,51509.0,100000
read,1360.3,1983.4,187.4,404.3,439.0,608.5,888.0,990.0,1065.3,3584.1,4573.4,5006.9,7743.6,28381.8,36270.8,50294.8,105000
read,1364.8,2086.0,187.4,409.8,441.2,595.1,892.7,976.6,1038.0,2694.0,4586.8,5037.3,7697.2,30396.8,37860.1,50439.0,110000
