#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,443.4,257.8,160.7,211.9,232.7,422.8,496.2,538,571,611.3,662.4,745.1,924,2301,10043.9,29854.6,30000
read,467,280.2,148.8,216,237.5,445.6,527.6,572.6,606.3,645.7,703.8,795.8,1056.3,2408.3,12854.9,34891.6,35000
read,450.7,251.5,160.7,212.4,232.2,431,513.7,556.5,589.5,628.3,680,768.3,977.7,2286.4,9323.1,39938.8,40000
read,440.4,274.8,160.7,207.4,226.1,419.8,503.2,545.6,579.1,618.6,670.3,752.2,924.1,2652.5,8373.8,45025.6,45000
read,432.6,281,148.8,204.6,222.4,407.5,496.9,540.6,573.4,612.1,661.9,742.3,915.1,3052.6,8063.8,50000,50000
read,422.8,242.8,148.8,204.3,221.2,393.8,484.5,528.7,560.7,600.9,651.3,735.7,927.9,1892.7,9725.1,55120.8,55000
read,408.5,232.1,148.8,200.1,215.8,374.9,465.7,511.9,545.2,587.4,639.3,723.2,888.2,1416,8137.2,60134.4,60000
read,393.1,216.2,148.8,197.5,212.3,356.8,442.1,488.8,522.9,565,621.3,710.3,862.2,1592.6,7992.2,64874.2,65000
read,428.4,264.7,148.8,205.4,222.9,387.5,479.2,529.6,567.3,613.1,674.7,777.8,1025.2,1694.3,10500.1,69783,70000
read,422.6,233.4,148.8,209.6,228.7,391.2,483.6,529.1,559.8,596,642.8,727.9,914.5,1315.6,8755.3,74967.3,75000
read,417.4,213.1,148.8,211.7,230.8,384.2,469.9,516.9,548.9,588.2,635.9,718.7,902,1550.2,7881.5,79968.4,80000
read,444.5,244.1,148.8,225.3,249,411.1,494.5,540,574.6,616.8,673.4,764.3,941.2,1384.9,9007.5,84910.9,85000
read,437.9,237.8,148.8,223.8,248.1,404.1,481.6,527.9,563.3,607.5,665,755.1,937,1278.2,8303,89973.6,90000
read,621.7,325,160.7,335.5,382.7,543,671.2,784.8,849,907.9,967.9,1040.3,1161.6,2592.5,12789.4,94344.9,95000
read,693.3,337.9,160.7,410.3,447.5,589.4,721.3,888.8,963.9,1028.7,1083.2,1151.8,1259.3,2596.4,12236.5,92403.4,100000
read,707,365.3,160.7,438.2,468.2,586.9,779.6,941,991.1,1037.8,1081.2,1143.4,1251.9,2660.7,16055,92072.4,105000
read,684.8,351.9,173.5,404.1,432.6,585.7,795.2,879.7,925.9,976.6,1034.3,1112,1249.7,2209.4,15450.8,95115.2,110000
