#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,992.3,1223.8,160.7,254.1,292.1,545.7,1040.9,1115.2,1176.5,1266.9,2836.3,3193.9,3725.2,16292.8,29746.1,29968.8,30000
read,925.7,1187.2,160.7,245.9,280.9,514.5,989,1078.6,1144.9,1238.3,2555.5,3067.5,3798.6,15429.6,31883.9,35036.9,35000
read,900.4,1306.8,160.7,252.9,288.4,517.6,898.9,1066.5,1140.8,1239.9,2162.4,2885,4799.1,18799.3,36521.7,40135.6,40000
read,919,1666.6,160.7,258.5,295.8,529.9,722.6,994.4,1087.3,1209.4,1441.4,2816.4,5296,30777.4,38056.8,44887.8,45000
read,1654.9,3327.4,187.4,440.4,476.1,638.6,959.7,1066.1,1139,2446.9,4653.8,5104.9,9475.2,36913.1,47722.2,46338.2,50000
read,1698.1,3388.3,202.4,461.5,491.3,640.3,989.9,1079.6,1147.6,1602.4,4687.2,5435.8,9490.3,36951.1,47282,45726.8,55000
read,1656.8,3376.5,187.4,429.9,462.3,638.3,928.5,1037.1,1111.8,1325.9,4664,5349.8,9486.9,36929,48036.9,47091.4,60000
read,1639.2,3405.9,187.4,423.3,454.7,631.1,920.6,1021.2,1083.8,1239,4658.4,5325.2,9473.3,37005.3,48370.3,47740.6,65000
read,1674.4,3343.4,173.5,456.6,486.3,630.5,976.7,1070,1136.1,1377.9,4679.8,5380.1,9479.6,36553.1,46517.4,46309.8,70000
read,1685.2,3420.6,202.4,452.2,484.5,636.8,970.3,1067.4,1135.2,1418.1,4681.9,5347.2,9475.8,36876.2,49472.5,46311.2,75000
read,1694.1,3449.4,187.4,461.8,491.8,631.2,973.1,1075.1,1139.2,1268.8,4673.1,8232.11,333.7,36821.6,49403.9,46170.8,80000
read,1602.2,3367.2,173.5,414.4,449.3,604.1,883,1006.2,1072.5,1183.4,4634.4,5360.8,9464.8,36251.8,47584.4,48692.5,85000
read,1649.7,3340,202.4,434.2,466.9,632,944.5,1049.8,1119.2,4205,4665.7,5091.7,9473.9,36675.8,49068.9,47312.2,90000
read,1747.1,3450.5,187.4,474.4,505,667.1,1018.8,1115.1,1181.2,4413.1,4707.7,5389.11,1432.7,37114.8,43959.6,44765.2,95000
read,1700.2,3480.7,173.5,448.9,481.7,640.9,962.2,1071.1,1142.4,1316.9,4674,8151.71,1676.5,37128.6,50267,46181.2,100000
read,1723.6,3409.8,173.5,469.1,501.3,662.7,996.7,1102.4,1171.6,4147.2,4690.9,5504,9487,37123.9,46221.5,45053.4,105000
read,1646.3,3398.8,160.7,446.1,475.7,602,952.4,1040.2,1092.4,1274.8,4664.8,5138.8,9783.7,37228.3,44122.3,47628,110000
