#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,453.9,245.5,160.7,225.8,249.3,430.5,502.1,546.0,581.5,623.4,676.2,751.5,893.4,2681.6,8794.7,29949.6,30000
read,445.5,298.6,160.7,222.4,244.4,421.2,490.6,532.5,564.8,604.5,658.0,740.2,879.6,3343.2,12473.7,34940.2,35000
read,450.8,271.9,160.7,221.5,243.1,430.4,504.3,547.0,580.7,621.3,675.0,756.9,896.2,2557.2,12123.6,39872.8,40000
read,445.3,251.2,160.7,220.1,239.8,420.4,499.0,543.3,578.1,620.7,675.6,760.5,923.4,2210.7,10091.6,44975.6,45000
read,430.5,248.7,160.7,217.9,235.7,401.5,478.8,523.0,556.2,599.3,659.4,748.9,905.2,1836.4,8789.3,50012.4,50000
read,426.4,245.3,160.7,215.6,233.1,399.2,476.6,520.5,552.8,594.3,651.4,737.2,879.2,1808.8,9967.8,55004.4,55000
read,413.4,228.3,160.7,213.8,230.8,384.5,460.9,503.9,536.6,576.7,630.2,716.7,864.5,1409.2,9139.5,60041.0,60000
read,416.5,259.1,160.7,215.4,232.2,386.4,461.6,505.2,538.6,579.4,633.2,722.6,877.2,1511.9,9919.5,64781.0,65000
read,434.2,244.3,160.7,221.2,240.5,402.7,485.6,532.0,565.7,605.8,660.6,743.6,904.5,1809.1,9116.2,69951.2,70000
read,417.4,236.6,160.7,220.4,238.9,388.2,464.1,506.4,538.4,576.6,626.3,703.5,855.0,1556.7,9910.7,75210.0,75000
read,410.2,207.2,160.7,219.8,238.6,382.9,455.1,496.3,526.8,563.6,613.4,688.6,839.2,1320.0,8337.9,80064.4,80000
read,428.3,224.6,160.7,225.9,247.5,398.0,472.0,515.0,546.4,585.0,634.8,719.6,929.2,1483.6,8608.3,85031.4,85000
read,475.2,276.4,160.7,236.3,262,432.9,516.3,562.5,595.1,638.4,710.6,891.2,1156.6,1659.9,10388.8,89668.8,90000
read,586.2,308.9,160.7,278.4,322.5,541.2,632.4,697.2,752.5,824.6,926.1,1060.1,1220.4,2379.1,10184.6,94325.4,95000
read,602.2,304.9,173.5,326.1,362.7,559.9,695.0,751.7,788.7,829.2,874.3,943.2,1099.3,2659.1,11273.5,98383,100000
read,708.0,352.8,160.7,413.4,445.5,600.9,853.6,921.1,959.8,998.0,1043.5,1097.6,1228.5,3284.9,13314.2,91975.9,105000
read,682.0,368.2,173.5,384.2,417,612.1,794.3,859.4,900.7,943.3,1003.9,1095.4,1249.9,3702,13333.4,95109.6,110000
