#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,465.2,569.3,148.8,208.4,226,421.6,498.9,544.2,582.3,627.9,691,780.2,1011.1,6660.2,31001.4,30113.2,30000
read,482.6,577.4,160.7,212.7,231.2,449.1,527,572.9,608.9,653.3,714.3,800.3,1047.1,5754.7,31747.6,35025.4,35000
read,495.3,705.4,160.7,211.8,229.8,439.9,529.2,579.1,617.6,668.9,739.7,853.8,1148.1,7827.6,32333.3,40121.2,40000
read,475.4,574.3,148.8,208.5,226.2,435.1,520,565.2,599.7,643,712.2,806.1,1054.5,7352.5,29954.4,45152.1,45000
read,512.5,672.6,160.7,213.3,231.5,424.7,526.9,587.2,633.4,696.6,788.5,944.2,1853.4,8475.7,30915.5,50044,50000
read,473.9,546.1,160.7,212,230.8,421.8,515.9,566.2,603.7,651,721.7,835.9,1095.2,5866.5,30775.3,55066.8,55000
read,465.9,548.4,148.8,209.2,227.6,409.7,504.8,557.7,597.2,646.8,722,843,1097.1,6292.3,30679.7,59811.5,60000
read,464.3,444.2,148.8,211.9,231.5,414.4,506.1,557,594.7,642.2,716.9,837.4,1093.2,5411.2,19325.5,65082.8,65000
read,458.2,447.1,160.7,211.7,231.3,408.9,497.8,546.4,584.9,632,701.3,821.2,1072.2,5569.8,14001.4,69812.6,70000
read,464.7,469.3,148.8,213.6,234.1,416.6,504,552.9,590.7,637.2,707.2,826.6,1092.2,5784.6,19757.3,74754.6,75000
read,455.8,474.7,148.8,214.4,234.5,399,484.8,537.2,577.8,627.6,697.6,820,1082,5839.7,17923.6,79998,80000
read,528.9,672,148.8,236.1,268.2,469.4,552.2,606.2,653.9,725.3,828.6,974.8,1217.1,6548.5,23028.3,84974.8,85000
read,627.9,499,160.7,287.8,348.6,543.6,652,770.9,851.4,924.8,994.8,1078.6,1243.7,6356.3,19172.4,89946,90000
read,572.2,410.9,160.7,258.7,308.4,505.6,599.6,691.4,764.7,839.2,913.1,999,1154.6,4897.1,12490.5,94891,95000
read,703.6,554.8,160.7,403.8,435.8,587.2,796.3,889.6,937.6,989.2,1046.4,1118.8,1270,7852.5,26385.8,92156.8,100000
read,741.2,463.5,160.7,448.5,480.2,608.9,828.1,974.6,1029,1072.6,1121.3,1179.2,1331.5,5778.3,16882.3,88356.2,105000
read,704.6,547,160.7,413.9,446.3,577.3,777.8,906.4,963.2,1014.1,1065,1129.9,1272.1,8239.5,21787,92975.2,110000
