#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,491.4,528.1,160.7,221.8,241.2,441.8,526.3,576.3,613.2,657.8,718.5,808.1,1077.3,7443,24548.4,29971.0,30000
read,498.2,680.1,160.7,221.7,240.7,432.2,516.6,567.6,605.8,653.6,720.8,818.5,1181.8,8015.7,31423.8,35135.2,35000
read,462.6,465.8,160.7,220.3,237.5,418.0,500.2,548.1,587.1,634.7,698.5,796.4,988.8,5823.2,15863.2,40026.2,40000
read,472.1,501.0,160.7,217.3,234.8,424.8,509.1,557.9,594.5,640.5,704.5,802.2,1024.8,7078,19743.1,44957.3,45000
read,480.1,518.7,160.7,219.2,237.3,431.2,521.4,570.5,607.3,653.9,718.8,817.2,1094.0,7538.4,25138.6,50133.9,50000
read,465.6,440.9,160.7,219.2,237.7,417.0,505.3,554.2,590.8,636.7,700.8,803.4,1069.0,6119.5,12434.1,55049.8,55000
read,460.8,394.4,160.7,220.3,239.9,421.5,508.9,556.6,591,634.3,692.0,786.6,1009.8,4771.2,11582.6,59950.2,60000
read,451.2,372.0,160.7,216.2,234.8,403.2,492.6,542.2,578.8,623.4,683.8,782.5,1012.7,4699.4,12642.0,64861.6,65000
read,468.4,554.6,160.7,218.7,237.4,409.5,494.7,542.9,580,626.4,690.2,804.2,1096.0,7801.9,23919.1,69986.6,70000
read,428.3,383.4,160.7,214.9,232.6,383.3,461.8,507.2,541.8,584.6,639.5,731.7,933.8,4755.5,12753.1,75144.2,75000
read,485.5,361.6,160.7,230.3,257.1,441.5,525.1,574.0,612.2,661.0,731.1,851.9,1163.4,4368.4,12253.1,80010.4,80000
read,657.2,471.3,160.7,305.3,361.7,575.0,675.6,784.6,875.6,967.8,1053.2,1148.3,1328.9,6299.1,15002.3,84449.6,85000
read,572.6,403.5,160.7,267.3,308.2,511.9,617.7,685.8,738.7,801.9,880.7,1002.6,1254.0,4628.4,12430.8,90083.3,90000
read,719.5,468.5,173.5,398.4,436.0,627.0,821.3,902.4,952.2,1005.7,1069.9,1157.9,1353.2,5511.6,19347.4,88743.2,95000
read,720.0,478.1,173.5,415.4,447.5,594.0,846.9,927.3,969.5,1010.1,1059.6,1124.1,1270.7,6951.3,16793.1,89947.7,100000
read,777.2,487.2,173.5,470.7,502.1,638.3,877.5,1020.4,1069.0,1118.0,1167.6,1240.5,1380.0,5731.8,17401.4,84356.4,105000
read,686.6,371.6,173.5,404.1,432.6,582.2,820.2,891.6,929.7,971.4,1015.2,1085.9,1223.9,3181.7,14179.7,94759.9,110000
