#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,401.7,231.6,148.8,201.2,218.8,372.8,445.4,492.4,528.5,570.8,619.6,683.3,805.5,2455.0,9948.6,30016.4,30000
read,402.4,247.6,148.8,198.5,214.9,374.3,447.7,494.8,533,575.3,621.4,681.9,806.7,2463.8,7972.3,34980.4,35000
read,418.5,194,160.7,203.8,222.3,399.2,472.9,516.9,550.1,591.1,640.9,713.1,855.4,1441.2,6071.9,40132.2,40000
read,410.4,241.3,148.8,200.7,218.7,390.0,464.5,505.7,538.9,578.3,626.2,692.2,822.5,1461.4,10081.6,45159.6,45000
read,416.0,229.2,148.8,198.1,215.1,387.9,470.4,519.1,553.2,594.0,650.3,738.2,908.0,1533.9,7618.9,50081.4,50000
read,404.0,244.2,148.8,194.5,211.0,380.8,460.1,502.9,534.9,573.2,620.8,685.7,820.5,1951.1,9311.9,55163.8,55000
read,402.1,206.8,148.8,193.7,210.3,381.2,462.5,505.8,536.7,572.9,619.1,686.2,830.1,1124.1,8057.6,60164.4,60000
read,393.9,219.5,148.8,194.2,210.1,366.2,446.8,491.0,523.4,561.3,610.3,684.4,839.1,1189.3,8320.1,64888.4,65000
read,399.5,217.7,148.8,194.2,211.7,374.7,456.6,500.6,532.1,568.4,614.0,680.6,818.4,1241.5,8932.7,69949.0,70000
read,385.4,191,148.8,193.6,209.4,355.6,432.8,477.2,509.8,546.7,595.5,673.7,820.5,1157.9,6404.5,75078.2,75000
read,382.8,204.3,148.8,193.9,209.9,354.6,429.3,471.7,503.1,539.7,586.5,661.3,805.7,1115.1,7518.5,80127.1,80000
read,394.7,199.9,148.8,199,218.3,373.7,446,485.5,513.4,546.3,590.2,655.5,789.1,1175.6,7674.6,84951.0,85000
read,408.1,213.5,148.8,205.2,226.8,382.9,456,497.2,527.7,563.8,611.5,684.5,843.4,1289.4,9357.0,89822.1,90000
read,391.2,183.9,148.8,200.5,220.3,365.9,431.4,469.5,500.3,538.2,588.7,669.2,818.6,1131.5,6332.3,94691.2,95000
read,685.3,385.7,148.8,389.5,458.0,582.1,640.6,867.3,996.4,1049.9,1092.3,1151.9,1250.0,3932,13786.0,92209.2,100000
read,696.4,369.1,160.7,454.4,479.8,572.8,657,950.6,996.4,1037.1,1073.0,1120.7,1194.7,3277.5,15146.2,93709.2,105000
read,698.1,371.4,137.8,459.4,482.8,573.7,642.4,953.4,1002.9,1042.4,1077.1,1126.9,1208.7,2748.3,15375.3,93821.8,110000
