#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,285.7,209.9,160.7,197.8,207.6,262.5,295.3,317.1,333.5,352,374.6,408.6,497.7,2800,8621,29899.9,30000,1683869842491,1683869852641
read,285.2,236.9,160.7,197.5,207.4,262,293.7,315.1,331.5,350,372.2,403,477.8,2823,8789.9,30021.1,30005,1683869854150,1683869864272
read,282.5,181.2,160.7,195.6,205.7,259.1,291.9,314.2,331,350,373.3,406.8,497,2192.2,7952.7,30020.6,30010,1683869865779,1683869875895
read,282.8,210.6,148.8,194.1,204.6,258.9,291.9,314.1,331,350.5,374.3,408,483.7,2758,9868.3,30065.8,30015,1683869877402,1683869887512
read,287.1,198.6,160.7,196.5,206.7,264.2,297.8,320,337,356.1,378.6,412,502.6,2422.6,8549.9,30013.7,30020,1683869889023,1683869899131
read,281.4,205.5,160.7,195.8,205.7,258.4,290.8,312.5,329,347.6,371.1,402.4,471.8,2298.5,9141.9,29999.9,30025,1683869900641,1683869910749
read,285.9,216.4,160.7,196.7,206.7,262.5,295.5,317.6,334.7,354.1,377,409.3,489.1,2461.5,9170,29981.3,30030,1683869912257,1683869922361
read,284.4,205.8,148.8,196,206,260.7,293.9,316.1,333.3,353,376.4,410.6,499.1,2383.2,8944.7,30121.8,30035,1683869923870,1683869933974
read,302.6,248.6,160.7,203.7,213.7,276.1,312.4,334.8,350.9,369.7,393.6,430.5,573,3253,10765.7,29998.6,30040,1683869935480,1683869945589
read,295,240,160.7,202.4,211.2,267.9,301.2,323.2,340.6,360.8,385.5,422.1,552.6,2879,10090.8,30067.6,30045,1683869947100,1683869957207
read,312.4,329.8,148.8,202,211.8,274.9,312.1,335.4,352.5,372.5,398.4,442.4,738.9,5259,12477.5,29996.4,30050,1683869958717,1683869968825
read,293.8,316.8,148.8,197.9,207,259.3,293,315.4,332.7,352.9,377.7,416.9,603.1,3810.9,13872.8,30073.8,30055,1683869970335,1683869980441
read,286,219.5,148.8,196.5,205.7,255.2,287.4,308.6,324.5,344.1,368.1,403.3,677.3,3255.9,8514.8,30191.7,30060,1683869981950,1683869992052
read,289.6,248.7,148.8,197.9,207.4,261.1,293.7,316.3,333.7,353.9,378.8,419.1,579,2769.5,12094.9,30013.2,30065,1683869993560,1683870003667
read,308.6,345.9,148.8,199.3,209,266.2,300.4,323.1,340.8,361.7,388.7,434.9,1023.5,4641.4,12687.1,30151.1,30070,1683870005177,1683870015290
read,295.1,296.5,148.8,196,206.5,263.9,297.4,319.7,337.2,357.1,381.5,420,594.1,4530.8,11008.5,30078.7,30075,1683870016798,1683870026906
read,298.6,365.8,148.8,196.3,206.3,260.9,294.7,318,336.3,357,381.5,417.4,564.7,5422.9,15743.4,29993.2,30080,1683870028414,1683870038533
read,295.1,292.6,160.7,199.3,208.5,263.8,296.3,318.5,336,355.9,379.7,413.7,509.3,4494.6,10566.7,30087.8,30085,1683870040042,1683870050156
read,294,299.2,160.7,197.7,207.7,263,294.7,316.2,333,352.7,376.4,412.4,531.4,4800.3,11508,30128.6,30090,1683870051668,1683870061782
read,294.4,330.9,148.8,196.9,206.6,259,291.1,313.1,330.3,350.8,375.3,410.7,545,5050.4,12859.7,30117.3,30095,1683870063292,1683870073388
read,294.2,293.8,160.7,198.7,208.4,263.9,296.3,318.5,335.5,355.1,379,414,508.1,4317.8,12196,30028.7,30100,1683870074899,1683870085009
read,287.6,326.7,148.8,194,204.2,256.2,287.5,308.3,323.8,343.4,367.6,401.6,497.5,4765.2,14941.3,30110.9,30105,1683870086515,1683870096623
read,280.2,209.5,160.7,194.8,204.7,255.8,287.9,309.8,326.8,347.1,372.1,405.4,485.2,2365.8,8730.1,30124.4,30110,1683870098134,1683870108236
