#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,277.2,222.6,148.8,190.4,198.5,251.1,284.7,306.7,322.5,342.3,366.9,401.8,496.7,3121.9,8683,29966.9,30000,1683644778962,1683644789125
read,285.3,246.6,148.8,188.9,197.2,254.5,291.6,314.5,331.4,350.5,374.7,414.5,581.7,3922.7,8746.8,29935.9,30005,1683644790633,1683644800759
read,296.9,378,148.8,191.4,200.2,251.6,286.1,308.5,324.8,345.1,372.2,415.6,851.8,6488,12393.2,30009.2,30010,1683644802270,1683644812391
read,291.9,353.9,148.8,190.7,199.4,251.9,288.4,312.4,330.5,351.7,378.1,419.7,594.3,5743.2,15041.3,30106.1,30015,1683644813903,1683644824013
read,291.3,518,148.8,190.9,199.4,251.5,286.5,309.4,326,345.7,371.3,411.3,581,5118.4,12336.2,30028.9,30020,1683644825524,1683644835637
read,286.1,329.6,148.8,190.7,199,248.5,282.3,305.4,322,343,369.3,406.5,528.9,5150,11505.7,30047.1,30025,1683644837144,1683644847254
read,300,396.1,160.7,191.2,200.4,256.7,293.4,316.4,333.7,354,380.3,422.3,719.6,6721.5,14821,29967.7,30030,1683644848765,1683644858878
read,298.4,370.5,148.8,192,202,258.6,294.2,316,332.8,352.5,378.6,420.5,668.4,6017.2,12846.3,30033.3,30035,1683644860387,1683644870498
read,298.2,374,160.7,191.7,200.7,252.5,286.5,308.4,324.2,344.2,370.5,411.4,1025,5707.5,12679,29961.3,30040,1683644872010,1683644882121
read,328.5,871.3,148.8,190.8,199.5,254.2,294.9,322.4,344.6,372.3,415.4,563.4,1528,7112.9,16038,30083.1,30045,1683644883628,1683644893736
read,290.9,326.7,148.8,192.5,201.9,253,287.7,310.1,326.7,346.6,373.7,415,538.4,5069.3,11226.1,30102.4,30050,1683644895242,1683644905357
read,301.1,291.9,160.7,192.1,201.3,255.9,296.3,322.6,342.6,367.4,399.2,461.9,858.3,4731.3,9255.8,30028.1,30055,1683644906867,1683644916989
read,294.5,329.8,148.8,191.4,201.2,255.8,290.7,312.8,329.6,349.7,375.9,419.1,581.5,5295.1,11063.2,30110,30060,1683644918498,1683644928610
read,276.4,225.9,148.8,188.6,196.4,249.2,283.7,306.5,322.7,342.7,367.7,403.6,501.4,2856.6,9598.9,30028.2,30065,1683644930124,1683644940237
read,279.6,233.1,148.8,190.8,199,251.1,286.6,310.3,327.5,346.8,372,408.6,503.8,3208.6,9553.8,30047.5,30070,1683644941745,1683644951855
read,277.8,211.3,148.8,191.1,200,253.4,286.4,307.7,323,341.9,366.1,401,493.2,2749.4,8742.8,29969.1,30075,1683644953365,1683644963480
read,272.7,206.9,148.8,189.7,197.6,247.7,280.8,302.9,319,338.7,362.8,397.4,487.6,2229,9733.2,30053.3,30080,1683644964991,1683644975105
read,273.3,211.4,148.8,190.7,198.6,247.5,279.5,301.4,317.3,336.8,361.1,396.6,487.5,2744,8650,30016.8,30085,1683644976617,1683644986732
read,274.4,216.3,148.8,190.5,198.5,248.9,282.1,304,319.7,339.6,363.9,398.4,485.5,2305.7,8710.2,30091.3,30090,1683644988239,1683644998352
