#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,392.2,370.7,173.5,249.9,274.2,364.8,398.1,417.3,430.5,448.5,471.4,512.7,691.5,7434.1,12552.7,5036.6,5000,1684487181928,1684487187322
read,406.6,254.4,173.5,230.2,250.5,396.0,448.7,474.2,493.0,512.7,539.9,582.4,714.3,3951.4,9737.0,10076.6,10000,1684487188827,1684487194161
read,410.0,355.8,173.5,222.3,239.9,393.4,459.6,492.1,513.7,537.9,568.1,614.7,736.4,3790.6,12436.7,15008.4,15000,1684487195665,1684487200958
read,406.1,225.9,160.7,218.1,234.7,382.0,459.3,499.7,526.3,554.0,587.7,640.2,758.6,2025.0,9358.9,19914.0,20000,1684487202462,1684487207754
read,413.0,240.3,160.7,215.2,230.5,384.7,464.6,510.2,541.4,575.4,617.5,684.7,840.0,2078.4,10047.1,25084.6,25000,1684487209257,1684487214550
read,422.7,226.8,160.7,216.6,232.3,396.1,479.2,526.6,558.9,593.3,638.8,706.9,825.9,1760.4,8786.1,30037.9,30000,1684487216054,1684487221345
read,422.3,266.0,160.7,212.2,225.8,375.2,464.0,516.6,555.6,600.7,667.5,780.7,1106.9,1826.8,9792.5,34915.0,35000,1684487222850,1684487228137
read,417.6,285.9,160.7,212.1,226.2,369.4,456.1,509.7,549.1,593.6,650.6,737.1,1059.2,3383.3,10973.0,39954.6,40000,1684487229641,1684487234927
read,416.1,208.9,160.7,214.5,228.5,373.8,463.0,516.8,556.9,604.6,663.7,745.4,976.5,1509.0,5337.1,44929.6,45000,1684487236431,1684487241717
read,411.1,233.8,160.7,211.7,225.4,362.9,451.5,507.3,549.3,598.4,661.3,747.1,1024.1,1493.0,6921.6,49965.6,50000,1684487243222,1684487248506
read,405.6,263.2,160.7,210.7,224.3,358.1,440.6,493.5,536.0,587.1,649.9,738.8,989.2,1610.5,10831.0,55181.2,55000,1684487250011,1684487255299
read,398.5,240.5,160.7,207.9,221.2,345.4,428.7,481.8,524.6,576.4,644.1,745.8,1060.8,1673.4,6899.2,60135.3,60000,1684487256803,1684487262078
read,395.3,256.9,160.7,209.2,222.6,343.0,420.2,469.8,511.3,564.5,634.7,737.5,1052.0,1729.5,10080.0,65010.2,65000,1684487263582,1684487268856
read,410.6,252.8,160.7,214.6,228.9,355.0,432.5,486.1,530.9,587.4,663.3,782.9,1129.2,1844.0,9503.6,69866.8,70000,1684487270359,1684487275635
read,395.1,247.5,160.7,208.3,221.5,335.2,409.2,459.2,501.8,557.4,637.8,783.0,1152.6,1944.6,8346.7,74987.4,75000,1684487277140,1684487282417
read,399.3,267.2,160.7,208.6,221.7,332.0,410.3,463.7,508.9,567.7,650.9,806.9,1249.0,1882.4,8512.2,79980.0,80000,1684487283920,1684487289198
read,400.1,255.5,160.7,211.3,225.0,340.1,412.3,461.8,504.4,562.8,642.1,792.1,1180.7,1865.9,9741.2,84912.7,85000,1684487290702,1684487295994
read,403.3,275.4,148.8,213.3,227.0,342.2,409.5,456.3,499.9,562.8,650.4,817.8,1205.8,1902.1,10468.6,89794.6,90000,1684487297497,1684487302777
read,427.0,325.0,148.8,215.8,230.4,345.0,420.2,473.9,526.4,595.4,707.4,940.8,1483.7,2875.6,9929.8,94808.6,95000,1684487304281,1684487309564
read,485.5,410.8,160.7,221.8,238.5,346.6,446.6,534.1,610.0,730.1,936.9,1227.9,1889.9,3489.7,10671.7,99833.4,100000,1684487311067,1684487316347
read,575.6,636.1,148.8,226.3,243.2,343.3,554.0,716.9,858.0,1016.3,1164.1,1491.7,2247.7,6571.2,24071.7,103481,105000,1684487317850,1684487323125
read,617.0,689.3,148.8,244.4,259.1,318.5,386.2,734.0,1072.2,1378.8,1502.0,1668.0,2617.3,6555.5,19509.3,105696,110000,1684487324629,1684487329911
read,658.3,915.4,160.7,257.5,272.5,335.0,392.5,779.0,1244.7,1434.7,1543.1,1698.3,2608.9,12339.5,31105.4,100315.4,115000,1684487331415,1684487336708
read,653.8,839.3,160.7,257.0,272.5,336.6,401.6,799.2,1211.8,1425.0,1540.0,1695.0,2609.8,10644.1,30843.5,100552.2,120000,1684487338212,1684487343504
read,628.1,896.6,160.7,246.8,261.2,320.9,387.5,719.3,1045.9,1355.1,1492.4,1658.5,2575.4,12075.9,31524.8,105245.8,125000,1684487345007,1684487350286
