#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,425.6,396.2,187.4,271.6,303.2,394.4,429.1,450.4,465.7,488.1,519.4,581.6,795.5,6738.4,15977.7,4970.8,5000,1684430527685,1684430533165
read,411.7,215.2,173.5,239.8,261.2,398.8,447.0,471.1,490.3,510.0,539.9,587.4,743.7,3938.4,7891.8,10102.2,10000,1684430534671,1684430540002
read,427.9,240.0,173.5,235.1,255.1,409.2,475.8,510.2,535.0,563.2,598.0,650.8,793.0,3818.8,9373.5,15024.0,15000,1684430541506,1684430546816
read,443.3,314.2,173.5,228.6,246.5,407.3,484.1,526.9,557.6,597.2,654.7,782.9,1009.4,2936.9,15072.1,19952.7,20000,1684430548319,1684430553640
read,458.0,285.5,173.5,228.1,246.1,415.6,499.6,547.7,583.9,628.8,699.5,847.4,1158.4,2361.7,10864.9,25048.0,25000,1684430555143,1684430560456
read,469.3,329.3,173.5,224.4,238.8,391.4,490.2,547.9,596.7,669.0,805.6,1027.2,1420.2,2425.2,11601.4,30038.2,30000,1684430561959,1684430567250
read,472.4,346.3,173.5,221.7,234.9,367.1,472.5,535.7,588.9,682.3,895.2,1181.5,1524.0,2384.5,10164.2,34935.2,35000,1684430568754,1684430574047
read,469.7,306.7,173.5,225.2,240.7,390.7,498.4,564.5,616.8,688.8,791.4,981.7,1419.9,2199.7,9334.8,39805.4,40000,1684430575550,1684430580826
read,461.3,317.4,160.7,221.5,235.4,365.4,471.2,540.8,596.7,678.0,804.5,1047.8,1534.8,2091.9,8183.1,45189.9,45000,1684430582331,1684430587627
read,445.0,301.1,160.7,221.1,235.1,370.3,473.2,538.5,589.5,653.8,739.1,892.5,1312.6,2359.7,9730.3,49763.8,50000,1684430589131,1684430594421
read,440.7,291.3,160.7,220.3,233.7,357.2,454.6,523.4,580.4,653.8,753.9,931.0,1368.8,2002.7,9139.7,55043.0,55000,1684430595924,1684430601284
read,443.0,304.2,160.7,219.6,233.1,359.7,455.9,521.9,574.6,640.9,745.4,948.8,1440.8,2032.2,9118.7,60263.4,60000,1684430602789,1684430608071
read,441.1,319.5,160.7,219.7,232.7,347.6,442.2,508.3,568.0,644.6,759.3,973.4,1522.8,2131.5,9223.8,65067.9,65000,1684430609575,1684430614860
read,445.6,291.2,160.7,222.8,237.9,360.4,450.7,518,576.6,654.0,769.3,962.1,1419.0,2195.8,8056.2,69926.4,70000,1684430616364,1684430621650
read,462.6,337.0,160.7,225.4,241.6,366.9,460.1,528.3,591.1,676.6,800.8,1043.4,1567.6,2356.8,11179.4,75123.2,75000,1684430623154,1684430628442
read,494.3,383.2,173.5,232.1,250.4,381.5,479.7,557.8,630.1,730.9,885.6,1140.0,1781.4,2887.2,12039.8,80311.8,80000,1684430629945,1684430635229
read,623.2,541.0,160.7,236.4,257.5,412.6,613.3,789.7,938.5,1076.2,1240.0,1642.6,2288.7,3482,15070.9,83854.2,85000,1684430636733,1684430642017
read,777.8,841.7,160.7,290.6,313.4,408.3,620.5,1255.6,1463.1,1575.4,1685.8,1837.5,2802.8,8706.7,30716.3,84037.4,90000,1684430643522,1684430648800
read,762.7,877.5,173.5,286.3,307.7,400.2,614.2,1137.5,1411.5,1536.6,1655.8,1821.2,2782.6,9330.4,31153.5,86309.8,95000,1684430650305,1684430655593
read,749.0,898.5,173.5,277.8,298.2,396.5,646.0,1062.4,1363.3,1505.5,1629.6,1796.1,2731.2,10441.4,31194.6,87814.6,100000,1684430657097,1684430662396
read,779.7,1051.3,173.5,290.7,311.8,400.0,524.0,1160.1,1433.5,1558.6,1674.2,1839.3,2911.3,12573.1,31908.9,85031.0,105000,1684430663900,1684430669184
read,787.3,953.8,173.5,296.9,319.0,408.2,576.6,1289.6,1474.8,1582.5,1688.4,1838.8,2758.4,12211,31028.2,83822.8,110000,1684430670687,1684430675966
read,752.7,904.1,173.5,279.6,300.6,396.1,581.1,1136.4,1409.5,1527.1,1641.5,1796.1,2705.8,12130.3,30471.9,87630.8,115000,1684430677469,1684430682752
read,752.8,896.7,173.5,285.2,305.2,392.1,563.3,1175.9,1424.8,1538.8,1651.3,1793.8,2699.8,10675.8,31137.0,87580.1,120000,1684430684255,1684430689545
read,758.9,968.0,173.5,287.0,306.7,390.0,519.6,1210.8,1437.8,1550.7,1659.7,1800.3,2710.3,12495.7,31135.6,87194.4,125000,1684430691049,1684430696331
