#type  ,    avg  ,  std  ,  min ,    p5  ,  p10  ,  p50  ,  p67  ,  p75  ,  p80  ,  p85  ,  p90  ,  p95  ,  p99 ,  p999,  p9999 ,    QPS  ,target,      ts_start,        ts_end
read   ,  419.7  ,508.9  ,187.4  ,272.1  ,300.2  ,381.2  ,411.7  ,430.0  ,444.9  ,465.1  ,496.6  ,560.2  ,785.4 ,7767.8,24405.8,  4955.2  ,  5000 ,1684431404914 ,1684431410288
read   ,  419.2  ,373.9  ,173.5  ,249.2  ,272.2  ,397.2  ,436.0  ,457.3  ,470.7  ,492.1  ,518.5  ,570.9  ,762.2 ,7389.8,10980.7 ,10029.8 ,  10000 ,1684431411794 ,1684431417123
read   ,  420.3  ,349.9  ,173.5  ,242.1  ,262.5  ,407.7  ,457.7  ,482.8  ,500.2  ,521.6  ,547.5  ,592.4  ,721.3 ,4626.5,14669.8 ,14957.8 ,  15000 ,1684431418626 ,1684431423925
read   ,  406.8  ,258.1  ,173.5  ,236.3  ,254.5  ,393.1  ,452.8  ,480.9  ,499.5  ,521.0  ,546.2  ,589.3  ,713.6 ,3289.9,11961.3 ,19976.8 ,  20000 ,1684431425429 ,1684431430720
read   ,  406.9  ,250.0  ,173.5  ,236.0  ,253.8  ,389.0  ,454.7  ,487.3  ,508.1  ,531.8  ,559.1  ,602.9  ,722.7 ,2551.6,12046.2 ,25089.6 ,  25000 ,1684431432223 ,1684431437526
read   ,  399.8  ,230.1  ,173.5  ,232.9  ,250.3  ,379.3  ,446.6  ,481.8  ,504.6  ,530.0  ,559.1  ,601.9  ,716.1 ,1922.4 ,8580.9 ,29858.0 ,  30000 ,1684431439029 ,1684431444315
read   ,  405.6  ,206.5  ,173.5  ,237.4  ,256.5  ,385.8  ,448.3  ,483.9  ,507.8  ,534.6  ,566.3  ,613.3  ,738.5 ,1849.1 ,9312.7 ,35086.2 ,  35000 ,1684431445820 ,1684431451102
read   ,  391.9  ,205.1  ,173.5  ,229.0  ,245.8  ,369.9  ,431.2  ,467.9  ,494.0  ,521.6  ,550.5  ,594.0  ,720.5 ,2147.7 ,8079.7 ,39973.0 ,  40000 ,1684431452605 ,1684431457885
read   ,  392.2  ,228.3  ,173.5  ,229.8  ,246.2  ,371.1  ,431.6  ,467.4  ,493.6  ,522.2  ,554.0  ,601.7  ,723.4 ,1641.1 ,9590.6 ,44674.8 ,  45000 ,1684431459388 ,1684431464668
read   ,  381.7  ,193.9  ,173.5  ,228.6  ,243.9  ,356.9  ,417.4  ,454.7  ,482.4  ,513.7  ,548.2  ,595.8  ,710.7 ,1318.2 ,8467.6 ,49965.2 ,  50000 ,1684431466172 ,1684431471471
read   ,  369.4  ,186.5  ,160.7  ,223.3  ,237.8  ,344.3  ,402.4  ,437.4  ,464.9  ,496.5  ,533.2  ,582.7  ,692.7 ,1300.1 ,7028.5 ,55094.8 ,  55000 ,1684431472974 ,1684431478262
read   ,  367.4  ,239.2  ,173.5  ,222.0  ,235.8  ,335.5  ,395.0  ,431.2  ,460.1  ,494.9  ,536.3  ,590.7  ,726.0 ,1585.8 ,8135.9 ,60118.4 ,  60000 ,1684431479765 ,1684431485048
