Random waveform, supplied seed
Total number of intervals = 360 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886)
Average QPS expected = 50334
Timestamp start: 1684882601592
Timestamp end: 1684884402146

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      555.4  1302.8   173.5   250.5   276.1   424.7   476.1   505.5   527.6   551.3   590.8   682.5  4485.8 23667.2 39086.0   7454.0     7434
read      394.8   455.5   160.7   220.8   233.4   326.8   394.4   437.8   472.7   516.6   570.5   650.7  1306.8  5499.8 20631.2  66844.0    67201
read      379.0   447.4   160.7   221.8   235.2   328.7   386.9   422.8   450.8   485.1   531.0   601.4   900.0  5757.5 20976.4  85896.0    85927
read      381.2   442.8   160.7   219.2   230.6   320.1   388.0   432.9   468.2   509.9   559.0   625.8   967.9  5250.1 15671.8  63957.8    63953
read      416.7   432.6   160.7   221.1   234.1   350.3   458.6   511.7   542.5   575.9   614.9   674.7  1036.3  5171.7 13780.8  31582.0    31595
read      367.2   392.8   173.5   219.8   231.7   318.5   373.6   407.8   434.5   468.3   513.0   581.9   906.2  5404.8 13499.1  87870.2    87879
read      559.8  1367.4   173.5   246.6   271.0   413.7   465.6   495.3   516.3   541.6   578.1   649.6  5240.4 28847.4 32287.6   7304.8     7287
read      453.5   734.7   173.5   220.7   234.1   341.8   420.6   474.6   519.6   574.1   651.9   949.8  1927.7  7551.9 31096.7  62290.8    62295
read      536.5  1383.2   187.4   252.4   276.9   404.1   452.5   479.2   500.1   525.9   560.3   630.2  3914.7 30271.8 32502.3   6583.4     6561
read      458.4   759.9   160.7   224.7   239.6   390.3   487.7   528.1   553.7   582.9   620.2   683.9  1486.8 12173.2 31556.3  22481.0    22532
read      419.5   690.5   173.5   219.6   231.5   327.0   398.7   447.6   486.3   532.3   586.6   683.9  1769.5  8209.3 31515.0  60431.0    60653
read      376.6   381.5   160.7   216.1   227.5   314.9   385.2   432.0   469.7   514.8   563.7   626.8   975.5  4537.3 12685.4  59153.6    59076
read      375.8   446.8   160.7   215.5   227.0   313.2   380.7   427.7   464.9   508.8   557.3   619.1   861.3  5250.9 16063.4  60059.2    60154
read      427.8   550.2   173.5   222.0   235.4   376.5   473.2   511.7   536.0   563.1   594.3   651.1  1132.6  8415.8 27395.7  22946.2    22964
read      500.9   979.2   173.5   242.2   264.0   415.3   468.2   498.2   519.8   545.4   582.8   648.7  2904.1 10998.0 32232.9   8111.8     8172
read      423.6   458.2   173.5   220.9   233.4   359.1   468.4   514.0   541.2   571.7   608.5   671.2  1198.0  5992.5 12790.9  27566.8    27652
read      411.5   615.1   173.5   220.2   232.6   345.6   443.9   501.7   537.8   575.1   617.2   677.0  1051.1  4572.9 11146.5  37503.6    37594
read      413.3   329.3   173.5   221.2   234.1   367.1   471.1   512.5   537.6   565.5   597.1   647.5   941.6  3957.1 10896.6  24430.8    24367
read      412.2   400.7   173.5   219.8   232.1   345.6   450.2   505.8   538.5   571.8   609.4   666.2   997.9  5346.6 12483.3  33753.2    33771
read      374.4   516.9   160.7   219.2   230.9   318.5   375.0   410.5   437.7   472.3   519.9   589.3   873.9  5903.0 28597.9  84881.8    84944
read      369.6   356.7   160.7   220.9   233.7   324.0   381.3   416.4   443.8   477.7   523.1   591.6   866.2  4903.0 11785.2  85817.6    85666
