Random waveform, supplied seed
Total number of intervals = 216 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235)
Average QPS expected = 50513
Timestamp start: 1684939591938
Timestamp end: 1684940672460

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      382.3   690.9   173.5   238.2   257.8   337.6   365.5   381.1   393.2   406.0   430.2   480.5  1229.1  8146.1 31802.9   7389.4     7434
read      344.3   288.7   160.7   211.7   223.5   303.5   352.4   384.0   409.7   444.6   489.3   546.9   747.2  3809.3 10483.0  66951.8    67201
read      336.8   309.0   160.7   209.4   221.3   298.9   345.3   373.0   395.2   423.5   462.5   523.6   695.7  4375.9  7942.3  86122.6    85927
read      344.5   313.3   160.7   210.8   222.8   302.1   350.7   384.1   411.1   447.9   493.6   549.6   762.7  3667.7 10097.3  64050.4    63953
read      366.8   357.4   160.7   213.5   225.1   312.6   392.7   436.9   463.6   491.5   523.3   570.2   828.4  4134.1  8713.0  31363.4    31595
read      340.7   398.0   160.7   209.9   221.9   299.9   345.2   372.1   393.7   421.3   460.3   521.6   721.5  4847.3 12876.1  87907.6    87879
read      460.7  1077.1   173.5   234.4   253.7   348.4   389.9   415.3   434.5   459.6   493.7   566.2  3183.9 13638.4 35873.3   7341.2     7287
read      421.4   573.0   160.7   214.6   227.1   320.1   381.6   427.3   467.2   517.6   591.9   957.5  1792.3  5936.3 30261.1  61997.6    62295
read      430.1  1077.9   173.5   237.1   256.7   335.2   364.4   381.4   395.2   412.5   437.9   493.9  2496.7 13969.2 32476.3   6596.4     6561
read      471.0   781.4   173.5   215.0   229.2   374.9   459.9   517.4   558.9   603.3   657.8   741.2  2868.2  8729.5 31969.8  22586.8    22532
read      352.1   371.0   160.7   208.9   220.8   299.8   350.8   386.3   416.0   453.9   499.2   560.0  1041.4  5084.0 11629.6  60596.8    60653
read      346.2   384.7   160.7   209.5   221.4   298.8   349.6   385.8   416.0   454.1   498.9   552.6   730.4  4230.8 17202.0  59050.0    59076
read      345.6   448.9   148.8   208.6   220.4   295.8   344.5   379.2   408.7   447.5   492.7   547.0   780.8  4987.5 13737.4  60048.4    60154
