Random waveform, supplied seed
Total number of intervals = 180 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227)
Average QPS expected = 49317
Timestamp start: 1684884564486
Timestamp end: 1684886364923

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      449.1   603.3   173.5   258.1   283.8   409.0   450.7   473.0   492.5   513.4   544.5   597.7  1081.7  8701.1 27160.7   7401.3     7434
read      379.4   415.3   160.7   220.6   233.2   323.6   389.4   431.1   463.8   503.9   553.4   622.9   899.7  5250.5 15938.4  67202.3    67201
read      383.0   415.5   160.7   222.8   236.9   333.6   392.6   428.3   456.0   490.0   535.4   607.0   939.0  5631.6 14277.6  85934.7    85927
read      390.0   397.5   160.7   221.3   234.3   330.1   399.2   444.0   479.4   522.3   573.8   643.1  1053.1  4668.9 13853.8  63921.7    63953
read      418.0   409.9   173.5   222.3   236.3   356.6   461.8   515.1   546.2   578.9   616.8   674.3  1020.0  4086.5 15793.2  31540.6    31595
read      385.5   455.4   160.7   222.2   236.1   332.2   391.5   427.0   454.7   488.8   534.6   609.8  1055.3  5682.2 15722.8  87996.2    87879
read      526.6  1484.0   173.5   244.1   268.0   404.7   454.6   482.3   502.1   527.8   562.8   639.1  3611.3 28651.8 39900.8   7352.7     7287
read      386.2   420.1   160.7   218.8   230.3   322.8   393.4   438.4   475.0   519.1   570.2   640.4  1091.4  5504.3 14203.8  62315.1    62295
read      514.9  1264.0   173.5   247.4   272.5   403.1   452.6   479.8   499.1   523.2   555.9   624.9  3644.2 28300.3 39402.3   6550.8     6561
read      441.1   559.5   173.5   223.4   238.0   385.0   481.2   521.4   546.4   575.4   610.5   670.0  1256.7  7449.3 29519.8  22533.7    22532
read      387.8   389.7   160.7   220.3   232.6   328.2   400.8   448.2   485.2   528.8   579.2   648.6   995.8  4690.9 14042.2  60582.9    60653
read      415.5   467.2   160.7   224.4   239.0   346.0   425.1   474.9   513.8   558.2   612.1   690.6  1242.9  5909.8 18926.5  59145.2    59076
read      414.5   494.0   173.5   223.2   237.3   344.0   422.8   472.4   510.8   554.8   608.8   690.5  1241.8  5521.2 25233.7  60141.4    60154
read      443.5   567.3   160.7   223.9   238.5   382.6   481.9   522.1   547.2   576.2   611.2   671.3  1599.4  7176.6 26581.2  22892.6    22964
read      557.4  1471.2   173.5   240.8   263.0   414.1   471.0   501.2   522.8   546.8   582.6   649.8  4330.0 29276.9 40361.4   8214.4     8172
read      426.2   450.7   173.5   221.7   235.6   365.2   472.1   518.8   546.8   577.2   614.1   674.0  1114.8  5468.0 15531.4  27517.5    27652
read      408.4   411.6   173.5   219.8   232.3   339.7   437.6   497.4   534.1   571.0   612.1   674.5  1072.0  4749.9 13729.8  37395.9    37594
read      421.1   431.4   173.5   221.3   234.9   370.3   473.9   516.3   542.1   571.2   605.1   657.1   992.4  4925.7 15685.0  24370.2    24367
read      415.0   439.9   160.7   220.1   232.7   346.9   451.7   509.0   542.8   576.8   616.4   677.6  1053.4  5412.9 17003.3  33747.2    33771
read      373.1   412.5   160.7   219.9   232.2   322.3   381.2   417.4   445.2   479.5   525.5   593.2   848.3  5732.9 13783.2  84956.2    84944
read      368.4   408.0   160.7   218.9   230.4   316.9   373.8   409.6   437.2   472.2   519.4   589.3   871.1  5497.0 15379.4  85653.3    85666
read      397.2   408.6   160.7   220.4   233.0   334.8   414.3   466.6   507.2   551.1   600.6   668.9  1026.3  4327.2 15580.6  52005.5    51918
read      411.3   376.7   160.7   220.0   232.5   346.0   450.6   507.4   541.4   576.2   615.9   675.4   988.9  4992.6 10558.7  34391.4    34406
read      415.6   427.7   160.7   219.7   232.4   353.9   463.6   512.7   542.2   572.8   607.7   661.9   996.9  5148.0 15586.0  28650.8    28664
read      404.7   399.1   160.7   218.3   230.1   337.4   432.2   491.1   527.4   563.9   604.4   664.3  1070.8  4787.9 13347.7  38327.9    38289
read      418.7   408.7   160.7   222.1   236.0   384.0   472.1   507.4   530.4   554.7   585.8   635.9   943.2  5239.3 13708.4  20698.8    20658
