Random waveform, supplied seed
Total number of intervals = 102 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343)
Average QPS expected = 50954
Timestamp start: 1684938351964
Timestamp end: 1684939372366

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      463.7  1176.8   173.5   230.5   249.7   348.3   388.7   411.6   429.2   451.8   483.1   548.2  3512.5 17279.4 37455.9   7367.4     7434
read      357.2   461.6   160.7   210.3   222.5   305.0   355.3   388.1   415.2   451.7   498.7   563.3  1020.2  5260.3 21641.3  67137.4    67201
read      345.2   383.8   160.7   209.4   221.8   304.3   352.3   380.9   402.8   432.6   472.9   536.8   760.3  4984.1 14359.8  85853.9    85927
read      353.7   397.1   160.7   209.8   222.0   303.7   353.6   386.6   414.1   451.1   498.0   559.9  1041.5  4917.0 16643.3  63974.7    63953
read      370.8   452.0   160.7   211.5   223.7   312.3   391.0   433.6   460.6   489.0   521.1   570.2   934.9  5396.0 15142.0  31488.7    31595
read      368.9   484.0   160.7   211.6   224.3   310.1   358.6   389.0   413.2   445.6   492.2   575.8  1413.1  5989.3 18083.3  87816.8    87879
read      503.1  1347.9   173.5   228.7   248.0   350.9   392.5   417.4   435.2   459.6   494.5   588.9  4356.2 20437.9 40179.1   7261.0     7287
read      353.6   372.0   160.7   210.1   222.5   304.7   356.6   392.0   421.4   458.9   505.2   570.1   921.0  4052.5 13049.8  62222.1    62295
read      477.9  1287.5   173.5   230.3   249.9   344.3   381.9   403.1   420.9   441.0   471.2   546.0  3688.6 26748.9 38266.4   6564.9     6561
read      499.5  1022.9   160.7   213.9   227.7   370.1   456.0   511.4   554.3   605.6   673.0   799.4  3646.3 13447.1 35535.5  22397.6    22532
read      367.8   358.6   160.7   213.0   225.3   315.5   374.2   412.8   443.4   481.0   527.9   594.2  1059.9  4594.2 11639.3  60663.0    60653
read      386.3   490.3   160.7   216.6   228.9   320.0   380.5   421.7   454.7   494.9   544.2   623.6  1383.4  5675.7 25310.5  59063.0    59076
read      355.8   344.2   160.7   212.1   224.4   306.2   358.5   395.0   426.1   464.7   510.2   570.8   894.6  4736.6 10643.6  60238.4    60154
read      480.1   975.0   160.7   213.8   227.5   366.5   446.4   495.2   534.7   583.2   645.5   740.8  3144.9 13084.7 35947.7  22860.7    22964
read      520.7  1477.4   173.5   222.2   237.9   351.2   402.2   429.1   448.4   469.6   503.3   593.0  4427.2 30365.5 43658.2   8180.2     8172
read      396.2   705.4   160.7   210.7   222.9   320.0   401.1   439.7   464.2   490.9   523.4   585.2  1384.4  9147.2 31628.1  27598.3    27652
read      358.9   435.7   160.7   208.8   220.8   302.0   369.9   415.7   445.9   476.8   509.4   555.0   843.9  5322.7 17182.8  37575.8    37594
read      474.0   921.5   160.7   211.4   224.7   360.2   439.6   489.2   530.4   583.7   655.1   766.0  3181.6 11554.1 32188.8  24354.8    24367
read      371.9   431.7   160.7   210.9   223.3   312.2   390.8   435.7   463.9   494.1   529.6   584.6   965.7  5201.6 19421.1  33831.5    33771
read      340.2   377.6   160.7   208.4   220.6   299.3   345.6   373.9   396.9   426.7   467.2   530.9   734.4  4719.3 13674.5  85049.8    84944
read      340.9   358.8   160.7   208.3   220.5   299.8   346.0   374.2   397.2   426.8   466.9   532.3   802.7  4755.2 11682.9  85676.2    85666
read      351.5   330.5   160.7   208.8   221.0   301.5   356.8   396.8   429.2   466.5   508.6   563.6   843.9  4472.4 11636.6  51912.4    51918
read      360.6   376.3   160.7   209.1   221.2   304.2   379.6   425.0   453.7   483.1   515.3   561.0   880.8  4375.9 12885.5  34317.3    34406
read      385.8   492.1   160.7   212.6   224.7   319.5   401.8   442.9   468.3   496.1   529.3   584.5  1456.1  6120.2 27448.8  28632.5    28664
read      351.8   251.9   160.7   209.8   222.1   305.9   373.8   418.9   448.7   479.3   513.0   560.5   752.0  3285.5  7675.3  38385.1    38289
read      376.7   323.4   160.7   215.1   227.6   346.3   412.2   442.2   462.0   485.7   515.7   580.1   802.6  3944.8 13400.8  20613.4    20658
read      416.8   428.6   160.7   220.0   234.5   369.5   447.2   490.7   519.0   549.1   584.9   639.8  1171.3  5411.2 15750.8  13861.9    13840
read      356.6   455.3   160.7   211.1   223.6   309.5   357.2   385.8   407.4   436.2   476.8   541.1   889.8  5819.3 18534.2  93308.5    93419
read      361.7   441.8   148.8   213.7   226.3   316.4   366.9   396.8   420.5   450.5   491.9   559.0   846.9  5570.1 20644.9  98272.6    98284
