Random waveform, supplied seed
Total number of intervals = 360 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886)
Average QPS expected = 50334
Timestamp start: 1684973463984
Timestamp end: 1684974544479

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      474.5   774.7   173.5   255.2   278.0   407.0   452.4   477.0   497.6   522.8   559.2   659.6  2073.3  9492.5 32403.4   7335.3     7434
read      370.6   339.9   160.7   221.4   233.7   320.6   382.0   421.4   452.1   488.9   534.1   597.9   859.4  4333.8 12238.6  67079.0    67201
read      351.1   407.7   173.5   218.7   229.1   307.1   355.6   386.5   410.2   441.1   483.2   544.5   767.9  4833.6 15446.9  85775.0    85927
read      368.3   316.8   160.7   220.7   232.4   318.8   381.9   423.0   454.6   492.2   536.0   594.6   809.5  3948.4 12319.0  63731.0    63953
read      407.9   457.9   160.7   222.5   236.1   350.4   445.3   489.1   516.7   545.5   582.0   641.1  1076.4  4330.4 23620.0  31616.7    31595
read      362.2   338.0   160.7   221.3   233.8   316.1   368.0   400.6   427.0   459.6   501.8   571.0   924.7  4811.9 13239.4  87912.0    87879
read      413.1   327.0   173.5   250.6   272.7   390.2   430.3   453.3   468.7   491.5   521.7   583.3   913.1  4862.0 11883.7   7234.3     7287
read      400.3   488.7   160.7   225.2   239.3   338.0   404.5   445.6   476.1   512.2   556.6   633.4  1211.7  5653.0 27986.5  62111.7    62295
read      444.8   756.0   173.5   252.9   273.6   387.9   425.9   447.0   462.5   482.2   508.0   571.4  1797.0 11355.0 35177.0   6606.3     6561
read      436.9   397.1   173.5   235.9   252.5   400.5   472.8   508.1   532.7   560.1   594.0   664.8  1212.3  4135.4 17793.5  22282.0    22532
read      376.6   322.3   160.7   221.0   232.9   322.1   389.0   431.1   463.5   501.2   545.7   616.8   995.8  4406.4 10487.1  60478.7    60653
read      380.0   335.9   173.5   222.5   235.5   326.6   395.1   438.9   472.5   512.1   558.5   625.7   902.4  4177.9 10187.0  59272.0    59076
read      381.5   451.1   173.5   221.9   234.9   326.6   392.2   434.0   465.8   503.6   547.0   613.3   859.1  5878.3 12589.4  60078.3    60154
read      405.7   445.3   160.7   222.9   236.7   372.2   450.0   483.3   504.9   530.4   561.4   615.6   823.8  3698.3 15241.0  22846.7    22964
read      437.2   556.6   173.5   243.6   262.5   391.7   432.4   454.9   469.6   492.1   520.7   578.3  1872.3  7723.1 21753.3   8220.3     8172
read      433.6   590.3   173.5   226.6   241.9   370.9   448.1   485.2   510.0   539.2   579.7   666.5  1867.9  7803.8 29991.0  27593.7    27652
read      386.0   304.6   160.7   219.7   231.2   334.2   423.0   470.0   499.3   529.1   563.4   620.2   864.7  3585.6  9840.5  37528.0    37594
read      433.0   605.2   173.5   224.2   238.3   376.6   465.8   502.2   526.5   552.0   587.3   651.2  1484.6  6847.9 30333.2  24251.7    24367
read      458.6   571.2   173.5   222.7   237.1   390.6   485.5   535.7   572.7   619.0   679.9   777.1  1333.5  5526.2 30459.6  33806.0    33771
read      396.5   453.4   160.7   222.8   236.4   326.8   386.2   424.1   453.7   490.8   542.4   651.0  1529.0  6132.1 13522.3  84710.0    84944
read      378.0   494.7   160.7   222.3   235.2   320.3   375.3   411.0   438.4   473.0   519.3   592.9  1048.4  6266.5 27972.7  85609.7    85666
read      390.4   462.9   160.7   221.5   233.8   328.1   402.5   451.5   485.2   522.2   564.3   626.5   917.7  6892.1 18696.7  51998.0    51918
read      407.4   234.7   160.7   225.1   239.4   359.4   456.0   500.6   529.2   559.8   596.3   664.6  1004.3  2933.3  7854.8  34527.0    34406
read      409.3   273.9   160.7   224.4   238.4   364.0   463.3   505.4   531.7   560.4   595.8   657.7   936.2  3201.6 13030.7  28517.7    28664
read      476.4   677.1   173.5   222.1   236.4   384.4   486.4   543.3   587.0   639.4   703.5   803.4  1934.7  8021.4 30232.4  38214.0    38289
read      521.4   872.6   173.5   223.9   240.2   424.7   525.3   579.3   616.4   657.2   706.2   788.4  3356.7  9263.4 32137.0  20715.0    20658
read      537.0   987.7   173.5   227.3   244.7   437.2   521.3   561.8   589.0   622.3   666.1   748.8  4026.0 10914.8 35989.5  13855.7    13840
read      376.3   501.2   160.7   219.6   231.4   311.8   358.1   388.0   411.7   442.9   487.8   565.6  1811.2  5450.5 26349.4  93241.3    93419
read      355.3   329.8   160.7   221.5   234.7   317.7   366.3   395.4   418.0   445.9   483.8   544.0   721.6  4533.0 10232.4  98386.3    98284
read      358.0   335.5   160.7   218.8   229.4   310.8   366.9   402.9   431.9   467.7   512.3   574.5   768.5  4441.8 10945.4  71558.3    71313
read      388.7   323.5   160.7   220.2   232.1   332.2   417.0   466.6   499.1   533.9   574.3   633.1   892.9  3742.1  9592.2  42033.3    42089
read      400.6   328.5   173.5   224.5   238.4   344.7   427.6   476.4   509.8   544.9   585.7   642.0   914.8  4222.7  9840.2  46597.7    46458
